timestamp_utc,ghi_kwh_m2,dni_kwh_m2,dhi_kwh_m2,clear_sky_ghi_kwh_m2,wind_speed_10m_mps,precipitation_mm_h,cloud_factor,weather_label
2021-01-01 00:00:00,0.000000,0.000000,0.000000,0.000000,2.730000,0.000000,0.000000,night
2021-01-01 01:00:00,2.670000,0.000000,3.720000,3.470000,2.460000,0.000000,0.769452,partly_cloudy
2021-01-01 02:00:00,44.850000,4.610000,40.230000,76.600000,1.810000,0.000000,0.585509,partly_cloudy
2021-01-01 03:00:00,113.680000,21.680000,94.410000,224.250000,1.770000,0.000000,0.506934,cloudy
2021-01-01 04:00:00,182.250000,41.190000,144.710000,372.480000,1.000000,0.000000,0.489288,cloudy
2021-01-01 05:00:00,234.180000,81.730000,165.610000,481.150000,1.200000,0.000000,0.486709,cloudy
2021-01-01 06:00:00,302.170000,203.280000,182.840000,484.000000,1.410000,0.000000,0.624318,partly_cloudy
2021-01-01 07:00:00,438.770000,255.020000,245.650000,465.250000,1.380000,0.000000,0.943084,sunny
2021-01-01 08:00:00,419.050000,366.180000,203.170000,419.270000,1.290000,0.000000,0.999475,sunny
2021-01-01 09:00:00,281.270000,248.950000,159.680000,282.770000,1.520000,0.000000,0.994695,sunny
2021-01-01 10:00:00,123.220000,77.890000,93.100000,123.500000,1.410000,0.000000,0.997733,sunny
2021-01-01 11:00:00,22.020000,2.500000,21.740000,21.850000,1.890000,0.000000,1.000000,sunny
2021-01-01 12:00:00,0.000000,0.000000,0.000000,0.000000,2.170000,0.000000,0.000000,night
2021-01-01 13:00:00,0.000000,0.000000,0.000000,0.000000,2.290000,0.000000,0.000000,night
2021-01-01 14:00:00,0.000000,0.000000,0.000000,0.000000,2.380000,0.000000,0.000000,night
2021-01-01 15:00:00,0.000000,0.000000,0.000000,0.000000,2.500000,0.000000,0.000000,night
2021-01-01 16:00:00,0.000000,0.000000,0.000000,0.000000,2.470000,0.000000,0.000000,night
2021-01-01 17:00:00,0.000000,0.000000,0.000000,0.000000,2.240000,0.000000,0.000000,night
2021-01-01 18:00:00,0.000000,0.000000,0.000000,0.000000,1.990000,0.000000,0.000000,night
2021-01-01 19:00:00,0.000000,0.000000,0.000000,0.000000,1.850000,0.170000,0.000000,night
2021-01-01 20:00:00,0.000000,0.000000,0.000000,0.000000,1.820000,0.170000,0.000000,night
2021-01-01 21:00:00,0.000000,0.000000,0.000000,0.000000,1.850000,0.170000,0.000000,night
2021-01-01 22:00:00,0.000000,0.000000,0.000000,0.000000,1.800000,0.000000,0.000000,night
2021-01-01 23:00:00,0.000000,0.000000,0.000000,0.000000,1.750000,0.000000,0.000000,night
2021-01-02 00:00:00,0.000000,0.000000,0.000000,0.000000,1.790000,0.000000,0.000000,night
2021-01-02 01:00:00,2.420000,0.000000,3.810000,2.420000,1.690000,0.000000,1.000000,sunny
2021-01-02 02:00:00,45.420000,7.740000,41.950000,50.970000,1.410000,0.000000,0.891112,sunny
2021-01-02 03:00:00,123.450000,40.300000,109.490000,150.300000,1.200000,0.210000,0.821357,rainy
2021-01-02 04:00:00,194.600000,78.640000,146.490000,261.600000,0.790000,2.560000,0.743884,rainy
2021-01-02 05:00:00,277.400000,90.190000,196.330000,351.230000,2.020000,4.170000,0.789796,rainy
2021-01-02 06:00:00,366.750000,162.670000,223.450000,418.880000,4.030000,5.090000,0.875549,rainy
2021-01-02 07:00:00,324.950000,144.550000,203.770000,397.600000,5.250000,4.010000,0.817279,rainy
2021-01-02 08:00:00,253.400000,131.420000,167.490000,324.020000,5.320000,1.530000,0.782050,rainy
2021-01-02 09:00:00,191.520000,82.000000,143.120000,222.950000,4.930000,0.780000,0.859027,rainy
2021-01-02 10:00:00,98.820000,39.080000,83.460000,106.530000,4.320000,2.520000,0.927626,rainy
2021-01-02 11:00:00,19.480000,1.710000,20.560000,19.980000,3.210000,11.150000,0.974975,rainy
2021-01-02 12:00:00,0.000000,0.000000,0.000000,0.000000,1.460000,1.670000,0.000000,night
2021-01-02 13:00:00,0.000000,0.000000,0.000000,0.000000,0.760000,0.080000,0.000000,night
2021-01-02 14:00:00,0.000000,0.000000,0.000000,0.000000,0.670000,0.210000,0.000000,night
2021-01-02 15:00:00,0.000000,0.000000,0.000000,0.000000,0.880000,0.680000,0.000000,night
2021-01-02 16:00:00,0.000000,0.000000,0.000000,0.000000,1.000000,1.740000,0.000000,night
2021-01-02 17:00:00,0.000000,0.000000,0.000000,0.000000,0.590000,3.420000,0.000000,night
2021-01-02 18:00:00,0.000000,0.000000,0.000000,0.000000,1.410000,3.470000,0.000000,night
2021-01-02 19:00:00,0.000000,0.000000,0.000000,0.000000,2.010000,2.110000,0.000000,night
2021-01-02 20:00:00,0.000000,0.000000,0.000000,0.000000,2.180000,1.360000,0.000000,night
2021-01-02 21:00:00,0.000000,0.000000,0.000000,0.000000,2.060000,1.010000,0.000000,night
2021-01-02 22:00:00,0.000000,0.000000,0.000000,0.000000,1.630000,3.760000,0.000000,night
2021-01-02 23:00:00,0.000000,0.000000,0.000000,0.000000,1.280000,9.080000,0.000000,night
